,Training Year,Test Year,MAPE,Variables,No. of Variables,Alpha
0,2012,2012,3.5981171997753654,"['Temperature' 'Temperature-12hrs' 'Temperature-24hrs' 'Temperature-48hrs'
 'Temperature-96hrs' 'Temperature over 6hrs' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Visibility' 'Humidity' 'Weekday'
 'Yearly cycle (sine wave)' 'Holiday_Alternate' 'Week' 'Hour' 'Day'
 'Dayofyear' 'Temperature Difference' 'Temp-48 Difference'
 'Wind speed Difference' 'Humidity Difference']",23,1.4000000000000001
1,2012,2013,3.601062007035754,"['Temperature' 'Temperature-12hrs' 'Temperature-24hrs' 'Temperature-48hrs'
 'Temperature-96hrs' 'Temperature over 6hrs' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Visibility' 'Humidity' 'Weekday'
 'Yearly cycle (sine wave)' 'Holiday_Alternate' 'Week' 'Hour' 'Day'
 'Dayofyear' 'Temperature Difference' 'Temp-48 Difference'
 'Wind speed Difference' 'Humidity Difference']",23,1.4000000000000001
2,2012,2014,3.5586567042245463,"['Temperature' 'Temperature-12hrs' 'Temperature-24hrs' 'Temperature-48hrs'
 'Temperature-96hrs' 'Temperature over 6hrs' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Visibility' 'Humidity' 'Weekday'
 'Yearly cycle (sine wave)' 'Holiday_Alternate' 'Week' 'Hour' 'Day'
 'Dayofyear' 'Temperature Difference' 'Temp-48 Difference'
 'Wind speed Difference' 'Humidity Difference']",23,1.4000000000000001
3,2012,2015,3.748037841332731,"['Temperature' 'Temperature-12hrs' 'Temperature-24hrs' 'Temperature-48hrs'
 'Temperature-96hrs' 'Temperature over 6hrs' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Visibility' 'Humidity' 'Weekday'
 'Yearly cycle (sine wave)' 'Holiday_Alternate' 'Week' 'Hour' 'Day'
 'Dayofyear' 'Temperature Difference' 'Temp-48 Difference'
 'Wind speed Difference' 'Humidity Difference']",23,1.4000000000000001
4,2012,2016,4.122354112059633,"['Temperature' 'Temperature-12hrs' 'Temperature-24hrs' 'Temperature-48hrs'
 'Temperature-96hrs' 'Temperature over 6hrs' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Visibility' 'Humidity' 'Weekday'
 'Yearly cycle (sine wave)' 'Holiday_Alternate' 'Week' 'Hour' 'Day'
 'Dayofyear' 'Temperature Difference' 'Temp-48 Difference'
 'Wind speed Difference' 'Humidity Difference']",23,1.4000000000000001
5,2012,2017,5.601344405051472,"['Temperature' 'Temperature-12hrs' 'Temperature-24hrs' 'Temperature-48hrs'
 'Temperature-96hrs' 'Temperature over 6hrs' 'Wind speed^2' 'Wind speed^3'
 'Wind direction' 'Cloud height' 'Visibility' 'Humidity' 'Weekday'
 'Yearly cycle (sine wave)' 'Holiday_Alternate' 'Week' 'Hour' 'Day'
 'Dayofyear' 'Temperature Difference' 'Temp-48 Difference'
 'Wind speed Difference' 'Humidity Difference']",23,1.4000000000000001
6,2013,2012,3.7120046809269027,"['Temperature' 'Temperature-12hrs' 'Temperature-18hrs' 'Temperature-24hrs'
 'Temperature-36hrs' 'Temperature-48hrs' 'Temperature-72hrs'
 'Temperature-96hrs' 'Temperature over 6hrs' 'Temperature over 12hrs'
 'Wind speed' 'Wind speed^2' 'Wind speed^3' 'Wind direction'
 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Binary indicator windy day' 'Weekday' 'Yearly cycle (sine wave)'
 'Yearly cycle (cosine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Hour' 'Day'
 'Dayofweek' 'Dayofyear' 'Temperature Difference' 'Temp-48 Difference'
 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",35,0.1
7,2013,2013,3.3253852079197537,"['Temperature' 'Temperature-12hrs' 'Temperature-18hrs' 'Temperature-24hrs'
 'Temperature-36hrs' 'Temperature-48hrs' 'Temperature-72hrs'
 'Temperature-96hrs' 'Temperature over 6hrs' 'Temperature over 12hrs'
 'Wind speed' 'Wind speed^2' 'Wind speed^3' 'Wind direction'
 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Binary indicator windy day' 'Weekday' 'Yearly cycle (sine wave)'
 'Yearly cycle (cosine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Hour' 'Day'
 'Dayofweek' 'Dayofyear' 'Temperature Difference' 'Temp-48 Difference'
 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",35,0.1
8,2013,2014,3.225026628497389,"['Temperature' 'Temperature-12hrs' 'Temperature-18hrs' 'Temperature-24hrs'
 'Temperature-36hrs' 'Temperature-48hrs' 'Temperature-72hrs'
 'Temperature-96hrs' 'Temperature over 6hrs' 'Temperature over 12hrs'
 'Wind speed' 'Wind speed^2' 'Wind speed^3' 'Wind direction'
 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Binary indicator windy day' 'Weekday' 'Yearly cycle (sine wave)'
 'Yearly cycle (cosine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Hour' 'Day'
 'Dayofweek' 'Dayofyear' 'Temperature Difference' 'Temp-48 Difference'
 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",35,0.1
9,2013,2015,3.5844413477248347,"['Temperature' 'Temperature-12hrs' 'Temperature-18hrs' 'Temperature-24hrs'
 'Temperature-36hrs' 'Temperature-48hrs' 'Temperature-72hrs'
 'Temperature-96hrs' 'Temperature over 6hrs' 'Temperature over 12hrs'
 'Wind speed' 'Wind speed^2' 'Wind speed^3' 'Wind direction'
 'Cloud height' 'Sun duration' 'Visibility' 'Humidity'
 'Binary indicator windy day' 'Weekday' 'Yearly cycle (sine wave)'
 'Yearly cycle (cosine wave)' 'Daily cycle (sine wave)'
 'Daily cycle (cosine wave)' 'Holiday_Alternate' 'Week' 'Hour' 'Day'
 'Dayofweek' 'Dayofyear' 'Temperature Difference' 'Temp-48 Difference'
 'Wind speed Difference'
 'Sun duration*potential solar irradiance Difference'
 'Humidity Difference']",35,0.1
